Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
1494,-0.022861008261746307,0.004242445676675321,0.07997939402486912,0.19104924737142887,0.22811197749873457,0.2829519557038287,0.3769193475347941
1492,0.0257344021018864,0.06616875654122802,0.15707929508035612,0.2892422460565256,0.33878192047675765,0.4067855249834004,0.517536801390026
1490,0.12472953702267098,0.18290009364704213,0.2923131318263495,0.4465860973972862,0.5147699248368115,0.5999148798000885,0.7330366667477806
1488,0.2334674085171822,0.28306009300309415,0.382450749462514,0.5249873991494834,0.5821624542190844,0.656953015471477,0.7788251835582105
1486,0.3052876593815539,0.31971688406950005,0.3814027511545252,0.4831125505180775,0.5023431435959161,0.5418079092887754,0.6225945701902633
1484,0.3514508656351563,0.33198018784535793,0.3569076818895581,0.4209562451934787,0.4080970933203366,0.41569909319563064,0.4588770085427407
1482,0.3902424720918672,0.35406532948903197,0.3589835658036384,0.40342634814997647,0.379311064550172,0.3716981455477638,0.3967797565500755
1480,0.4157385120072625,0.3819568879490665,0.3864963484414311,0.4310785399831575,0.41511652816182765,0.4092506897315677,0.4397364027456346
1478,0.4251796311163484,0.4103879921470516,0.4333351523904075,0.4976100693162075,0.5059182699511771,0.5178654778630035,0.578382315654607
1476,0.4383203905522946,0.455119050431577,0.51114877208344,0.6107931998293659,0.6562479016640332,0.6999384332531402,0.8061565562771041
1474,0.4738057157262568,0.5195879361166724,0.6050900391457104,0.7347428212167428,0.8110660823971461,0.8834595465792796,1.0167634828709342
1472,0.5112795815737369,0.5563872909659228,0.6383199642541986,0.7610262111185948,0.8293315714014804,0.8982144985801234,1.0045405321569658
1470,0.527683595187953,0.5440406719396855,0.5940186358420944,0.6814335893553661,0.7122497068841516,0.7516601341653476,0.8055212798217031
1468,0.5424251470623224,0.5279218996195004,0.54623857254357,0.6018064292208755,0.6033856582295336,0.6176924301189725,0.6377950205797659
1466,0.5695114618745457,0.536089308565285,0.5358162787467591,0.5741407587362191,0.5700245067398233,0.5750613495072848,0.5856620531897029
1464,0.5880220585575736,0.5509368896485205,0.5460937097167493,0.5803299811981218,0.5887379480716738,0.5966109330925748,0.610755067641569
1462,0.5719634430393661,0.5472336875909329,0.5519762185727167,0.5951460797342184,0.6251200816286849,0.6445054153839347,0.6723248574511563
1460,0.5268987095961153,0.5325631680235408,0.5636667315932931,0.6313887641664038,0.6924303659908154,0.7365747522788787,0.7981576617062898
1458,0.4699523620836857,0.5199463871461105,0.5886023573491426,0.6875566189562082,0.7863464191016156,0.8672574401750809,0.980875445341137
1456,0.40385104184848974,0.4788789343713104,0.5608169860640041,0.6603828327442838,0.7689822178426295,0.8650269126131281,0.9989707401701529
1454,0.33491634218371613,0.3910946167439856,0.441660861505728,0.4998120622697274,0.5734262146366061,0.6406781503159185,0.7296775028809346
1452,0.27629242350849775,0.3020357296349146,0.3134415868513773,0.3295832935618304,0.3658105783958735,0.3962432828309713,0.4260035769973014
1450,0.22470843134324492,0.23064544326658007,0.21741826841746117,0.20815205884851917,0.22603317025754413,0.2342360843278379,0.2251918801665711
