Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2978,-0.0004064000166664826,9.989041723274997e-06,-0.00092512268373065,-0.0016195223123795,-0.0021667118439246333,-0.0026719165029508666,-0.0036015757952184333,-0.004086116594593233,-0.001152541314757775
2976,-0.00043034233324022004,2.874175946111997e-05,-0.00093951270507955,-0.0015476207520321334,-0.0021057222240017,-0.0025927469394865666,-0.0035760131473458,-0.004077397950663566,-0.0010484817554421502
2974,-0.00046101409214312,3.8572931397382244e-05,-0.0009105270297665999,-0.0015014920670591667,-0.002038298374851767,-0.0025227483313339334,-0.0035567055057436664,-0.004067260751055767,-0.0009348967382045001
2972,-0.00049276587572248,6.341009319257901e-05,-0.00083615862260575,-0.0014643124760973334,-0.0019940929855247337,-0.002481718073301067,-0.0035286022827053,-0.004025528745828133,-0.0008326302563406748
2970,-0.0005233901563553234,0.000137676815089771,-0.0007435088307096501,-0.0014223454827314,-0.001976533340466633,-0.0024627103017128,-0.003457272655232333,-0.0039321587412346,-0.0007395541178503498
2968,-0.00054602831896502,0.0002083338240783005,-0.0007080100643121999,-0.0014057529167242333,-0.0019864333743553333,-0.0024786066269483335,-0.0033645595247881,-0.0038348352019128332,-0.0006810166425957002
2966,-0.0005476567510737799,0.00015965949373768744,-0.0007971525864574501,-0.0014614863498549667,-0.0020466114616702,-0.002578331035823767,-0.0033464593065447,-0.0038328774608381,-0.0007089221169500751
2964,-0.00052875693270472,-2.554241664812035e-05,-0.0009691153031748999,-0.0015777834096948667,-0.0021547499294115,-0.0027562891559800664,-0.0034582244368097,-0.003955029943980833,-0.000811509687132425
2962,-0.0005104009166457,-0.000212716293022175,-0.00108996084722445,-0.0016885845549307668,-0.0022537832724258,-0.0029060972611043,-0.0036331740656359666,-0.0041132668297805,-0.0008934011643844
2960,-0.0005097219371328401,-0.0002659237911098,-0.0010869676734384,-0.0017495735657417331,-0.002291916936661134,-0.002933501989025733,-0.0037570534892632664,-0.004209292860608367,-0.0008855303403493749
2958,-0.0005192885377155599,-0.00020261882444809994,-0.0010431326513626999,-0.0017811055137764997,-0.0022975246748709334,-0.0028754737833373667,-0.0037921787562395664,-0.004244501417566733,-0.0008258853386463749
2956,-0.0005194964699850801,-0.00013670361722042465,-0.00106860061301905,-0.0018131792921105335,-0.002319341845871933,-0.0028329246238746665,-0.0037740020828569663,-0.004271866939336667,-0.0007800819644168751
2954,-0.0005053962559248,-0.00013975389015749635,-0.0011621166455379,-0.0018496368792301333,-0.0023508168491002,-0.0028465161201982666,-0.0037475694436707673,-0.004312500251541567,-0.0007568413222276499
2952,-0.00048879157235498,-0.0002199151390585,-0.00126059747603625,-0.0019136448724842,-0.002397447496685833,-0.0029112891285068,-0.0037696185429570337,-0.0043820119090775,-0.000745735669951325
2950,-0.00048158821802900406,-0.00035810947042377975,-0.0013375166820255502,-0.0020305125134569336,-0.0025124180744355,-0.0030314701579175663,-0.0038759815339147667,-0.004504321388684633,-0.0007466351608112501
2948,-0.00048683145288049647,-0.000505092860156275,-0.0013976735889267501,-0.0021595714109469335,-0.0027046111478958666,-0.0031996938143378,-0.0040248019498152,-0.0046653262870036336,-0.0007424546389987
2946,-0.0005034366349949838,-0.000571666529673675,-0.00141813588163555,-0.0022023698329923336,-0.0028656219100648334,-0.0033487858272037998,-0.0041096507648523,-0.0047792874360927,-0.00067711035512155
2944,-0.0005313067862913882,-0.00048594679465767496,-0.0013642595529343,-0.002110508691193767,-0.0028610896153661333,-0.0033905015695286666,-0.004062817673199467,-0.004753402246869934,-0.000512372261157025
2942,-0.00056684659419434,-0.0002760753981629959,-0.001258112534157,-0.0019502869614609333,-0.002689692359064966,-0.0033049957857155337,-0.003926805201575266,-0.00458839167412,-0.00029062201480814997
2940,-0.0005979023310818999,-7.243033472110729e-05,-0.0011827618502630501,-0.0018455413032044665,-0.0024972921064284333,-0.0031741193675500668,-0.0038185727783410666,-0.004402791211544933,-0.00012060109046132996
2938,-0.0006119421228337,1.2242649346100025e-05,-0.0011875792991868999,-0.0018588407682904335,-0.0024064752354644,-0.003102555495562634,-0.0038059056841902336,-0.0043122734793586,-8.153931858937574e-05
2936,-0.00060434083966962,-2.3896675364400014e-05,-0.0012412189988513498,-0.0019480296691298333,-0.0024097809628403333,-0.0031243789624030333,-0.0038618343593168,-0.0043313106638357335,-0.0001658959691635824
